Random Walk, DT, DT, DT, DT
,8412,8494,8124,370
,8209,8519,8124,395
,8176,8536,8124,412
Avg of 500
,10093,8577,8124,453
,9831,8598,8124,474
,9811,8584,8124,460
,9807,8608,8124,484
,9994,8594,8124,470
,10221,8558,8124,434
,10140,8566,8124,442
,9970,8580,8124,456
,9969,8578,8124,454
,10250,8553,8124,429
Avg of 600
,11839,8647,8124,523
,11988,8625,8124,501
,11649,8667,8124,543
,11541,8682,8124,558
,11651,8668,8124,544
,11551,8679,8124,555
,11700,8660,8124,536
,11469,8678,8124,554
,11718,8653,8124,529
,11877,8634,8124,510
Avg of 700
,12975,8765,8124,641
,13504,8714,8124,590
,13159,8762,8124,638
,13207,8741,8124,617
,13513,8735,8124,611
,13224,8759,8124,635
,13347,8750,8124,626
,13590,8695,8124,571
,13484,8704,8124,580
,13305,8731,8124,607
Avg of 800
,15085,8804,8124,680
,14777,8839,8124,715
,14932,8825,8124,701
,14746,8835,8124,711
,15068,8813,8124,689
,14700,8858,8124,734
,15114,8796,8124,672
,15214,8781,8124,657
,15139,8800,8124,676
,15210,8799,8124,675
Avg of 900
,16620,8870,8124,746
,16456,8934,8124,810
,16616,8893,8124,769
,16541,8926,8124,802
,16559,8903,8124,779
,16832,8870,8124,746
,16300,8957,8124,833
,16601,8929,8124,805
,16247,8945,8124,821
,16678,8912,8124,788
Avg of 1000
Random Walk, HV2, HV2, HV2, HV2
,1674,8196,8124,72
,1661,8200,8124,76
,1784,8182,8124,58
,1605,8209,8124,85
,1702,8202,8124,78
,1641,8204,8124,80
,1711,8198,8124,74
,1794,8183,8124,59
,1646,8204,8124,80
,1707,8189,8124,65
Avg of 100
,3258,8288,8124,164
,3151,8290,8124,166
,3427,8278,8124,154
,3433,8251,8124,127
,3408,8273,8124,149
,3312,8284,8124,160
,3399,8266,8124,142
,3293,8294,8124,170
,3304,8259,8124,135
,3302,8277,8124,153
Avg of 200
,4887,8359,8124,235
,5006,8378,8124,254
,4829,8363,8124,239
,5103,8342,8124,218
,5004,8350,8124,226
,5025,8337,8124,213
,4988,8352,8124,228
,5073,8329,8124,205
,5016,8352,8124,228
,5113,8335,8124,211
Avg of 300
,6513,8454,8124,330
,6686,8445,8124,321
,6465,8452,8124,328
,6541,8455,8124,331
,6756,8431,8124,307
,6874,8405,8124,281
,6604,8420,8124,296
,6799,8411,8124,287
,6928,8408,8124,284
,6550,8446,8124,322
Avg of 400
,8470,8491,8124,367
,8410,8511,8124,387
,8373,8508,8124,384
,8244,8506,8124,382
,8305,8517,8124,393
,8581,8477,8124,353
,8245,8512,8124,388
,8559,8479,8124,355
,8533,8497,8124,373
,8132,8523,8124,399
Avg of 500
,9928,8567,8124,443
,10119,8561,8124,437
,9780,8602,8124,478
,10012,8586,8124,462
,10210,8549,8124,425
,9937,8595,8124,471
,10036,8567,8124,443
,10098,8558,8124,434
,10089,8562,8124,438
,9909,8602,8124,478
Avg of 600
,11552,8658,8124,534
,11393,8663,8124,539
,11712,8664,8124,540
,11576,8669,8124,545
,11696,8656,8124,532
,11496,8660,8124,536
,11751,8663,8124,539
,11768,8658,8124,534
,11659,8643,8124,519
,11393,8712,8124,588
Avg of 700
,13204,8761,8124,637
,13305,8747,8124,623
,13692,8685,8124,561
,13052,8763,8124,639
,13563,8702,8124,578
,12825,8813,8124,689
,13372,8742,8124,618
,13076,8774,8124,650
,13338,8716,8124,592
,13430,8735,8124,611
Avg of 800
,14855,8824,8124,700
,14925,8773,8124,649
,14818,8840,8124,716
,15202,8779,8124,655
,15288,8776,8124,652
,14765,8845,8124,721
,14501,8852,8124,728
,14830,8824,8124,700
,15131,8808,8124,684
,15131,8787,8124,663
Avg of 900
,16614,8917,8124,793
,16560,8884,8124,760
,16406,8913,8124,789
,16210,8936,8124,812
,16723,8862,8124,738
,16811,8845,8124,721
,16652,8878,8124,754
,16444,8880,8124,756
,16745,8871,8124,747
,16791,8880,8124,756
Avg of 1000
Random Walk, KNN, KNN, KNN, KNN
,1862,8163,8124,39
,2004,8146,8124,22
,1960,8144,8124,20
,1877,8159,8124,35
,1944,8151,8124,27
,1973,8149,8124,25
,1945,8152,8124,28
,1881,8152,8124,28
,1935,8152,8124,28
,2007,8154,8124,30
Avg of 100
,3897,8172,8124,48
,3846,8176,8124,52
,3881,8181,8124,57
,3991,8163,8124,39
,3950,8161,8124,37
,3835,8185,8124,61
,3957,8179,8124,55
,3797,8190,8124,66
,3848,8184,8124,60
,3808,8186,8124,62
Avg of 200
,5867,8204,8124,80
,5781,8211,8124,87
,5772,8213,8124,89
,5932,8190,8124,66
,5849,8198,8124,74
,5781,8209,8124,85
,5780,8214,8124,90
,5824,8197,8124,73
,5868,8204,8124,80
,5862,8209,8124,85
Avg of 300
,7802,8206,8124,82
,7778,8241,8124,117
,7820,8222,8124,98
,7733,8229,8124,105
,7869,8216,8124,92
,7723,8235,8124,111
,7625,8262,8124,138
,7840,8226,8124,102
,7662,8249,8124,125
,7754,8227,8124,103
Avg of 400
,9693,8261,8124,137
,9676,8253,8124,129
,9747,8270,8124,146
,9679,8262,8124,138
,9818,8246,8124,122
,9879,8239,8124,115
,9844,8228,8124,104
,9687,8251,8124,127
,9875,8251,8124,127
,9826,8232,8124,108
Avg of 500
,11721,8268,8124,144
,11731,8271,8124,147
,11678,8285,8124,161
,11509,8297,8124,173
,11657,8290,8124,166
,11773,8273,8124,149
,11580,8281,8124,157
,11740,8262,8124,138
,11443,8313,8124,189
,11418,8322,8124,198
Avg of 600
,13697,8293,8124,169
,13518,8317,8124,193
,13693,8289,8124,165
,13739,8294,8124,170
,13425,8321,8124,197
,13625,8312,8124,188
,13674,8329,8124,205
,13563,8304,8124,180
,13602,8305,8124,181
,13740,8289,8124,165
Avg of 700
,15460,8370,8124,246
,15551,8333,8124,209
,15607,8335,8124,211
,15457,8336,8124,212
,15627,8320,8124,196
,15746,8308,8124,184
,15691,8322,8124,198
,15694,8300,8124,176
,15344,8371,8124,247
,15363,8341,8124,217
Avg of 800
,17629,8341,8124,217
,17634,8351,8124,227
,17691,8335,8124,211
,17513,8372,8124,248
,17379,8372,8124,248
,17541,8348,8124,224
,17612,8344,8124,220
,17378,8389,8124,265
,17596,8368,8124,244
,17792,8346,8124,222
Avg of 900
,19554,8395,8124,271
,19439,8378,8124,254
,19323,8395,8124,271
,19190,8417,8124,293
,19372,8385,8124,261
,19391,8390,8124,266
,19215,8414,8124,290
,19463,8381,8124,257
,19597,8348,8124,224
,19409,8379,8124,255
Avg of 1000
Random Walk, KNN2, KNN2, KNN2, KNN2
,1953,8142,8124,18
,1958,8146,8124,22
,2055,8132,8124,8
,1974,8150,8124,26
,1967,8151,8124,27
,1982,8147,8124,23
,1983,8144,8124,20
,1932,8155,8124,31
,1984,8153,8124,29
,1926,8156,8124,32
Avg of 100
,3954,8164,8124,40
,3994,8156,8124,32
,3912,8172,8124,48
,3958,8170,8124,46
,3897,8165,8124,41
,3892,8174,8124,50
,3902,8176,8124,52
,3859,8182,8124,58
,3948,8164,8124,40
,3889,8175,8124,51
Avg of 200
,5866,8216,8124,92
,5864,8213,8124,89
,5952,8195,8124,71
,5910,8188,8124,64
,5739,8208,8124,84
,5716,8217,8124,93
,5912,8179,8124,55
,5620,8229,8124,105
,5961,8186,8124,62
,5975,8174,8124,50
Avg of 300
,7789,8222,8124,98
,7696,8232,8124,108
,7716,8241,8124,117
,7871,8229,8124,105
,7773,8240,8124,116
,7969,8202,8124,78
,7761,8234,8124,110
,7830,8231,8124,107
,7885,8218,8124,94
,7843,8239,8124,115
Avg of 400
,9850,8242,8124,118
,9760,8247,8124,123
,9927,8240,8124,116
,9874,8249,8124,125
,9740,8267,8124,143
,9868,8251,8124,127
,9600,8281,8124,157
,9806,8228,8124,104
,9784,8248,8124,124
,9715,8268,8124,144
Avg of 500
,11842,8255,8124,131
,11903,8239,8124,115
,11753,8286,8124,162
,11736,8272,8124,148
,11681,8272,8124,148
,11828,8264,8124,140
,11785,8264,8124,140
,11746,8271,8124,147
,11799,8276,8124,152
,11698,8286,8124,162
Avg of 600
,13661,8304,8124,180
,13659,8318,8124,194
,13396,8339,8124,215
,13726,8309,8124,185
,13570,8304,8124,180
,13839,8276,8124,152
,13747,8315,8124,191
,13808,8279,8124,155
,13418,8328,8124,204
,13616,8314,8124,190
Avg of 700
,15566,8334,8124,210
,15694,8336,8124,212
,15884,8306,8124,182
,15684,8319,8124,195
,15614,8343,8124,219
,15831,8310,8124,186
,15788,8314,8124,190
,15558,8345,8124,221
,15573,8328,8124,204
,15760,8305,8124,181
Avg of 800
,17540,8330,8124,206
,17579,8359,8124,235
,17388,8375,8124,251
,17834,8313,8124,189
,17590,8334,8124,210
,17295,8389,8124,265
,17353,8388,8124,264
,17599,8343,8124,219
,17687,8333,8124,209
,17544,8349,8124,225
Avg of 900
,19466,8376,8124,252
,19592,8363,8124,239
,19548,8383,8124,259
,19776,8360,8124,236
,19475,8381,8124,257
,19482,8391,8124,267
,19682,8368,8124,244
,19433,8403,8124,279
,19625,8353,8124,229
,19563,8361,8124,237
Avg of 1000
Random Walk, LR, LR, LR, LR
,1741,8193,8124,69
,1835,8171,8124,47
,1773,8181,8124,57
,1795,8174,8124,50
,1842,8169,8124,45
,1849,8169,8124,45
,1837,8171,8124,47
,1850,8178,8124,54
,1893,8164,8124,40
,1854,8171,8124,47
Avg of 100
,3563,8233,8124,109
,3663,8212,8124,88
,3490,8242,8124,118
,3558,8228,8124,104
,3607,8229,8124,105
,3536,8238,8124,114
,3627,8224,8124,100
,3589,8235,8124,111
,3619,8221,8124,97
,3623,8234,8124,110
Avg of 200
,5400,8293,8124,169
