Random Target, DT, DT, DT, DT
,3622,10385,10127,258
Avg of 500
,4618,10469,10127,342
,3836,10397,10127,270
,4102,10430,10127,303
,4502,10459,10127,332
,4171,10420,10127,293
,3854,10396,10127,269
,3819,10401,10127,274
,4107,10418,10127,291
,4367,10451,10127,324
,4169,10427,10127,300
Avg of 600
,4961,10501,10127,374
,5433,10520,10127,393
,4656,10467,10127,340
,4800,10469,10127,342
,4892,10495,10127,368
,5245,10518,10127,391
,4842,10486,10127,359
,4879,10474,10127,347
,4736,10459,10127,332
,5004,10488,10127,361
Avg of 700
,5819,10571,10127,444
,5806,10560,10127,433
,5453,10518,10127,391
,5319,10498,10127,371
,5399,10520,10127,393
,5685,10537,10127,410
,5765,10552,10127,425
,5707,10545,10127,418
,5060,10479,10127,352
,5473,10515,10127,388
Avg of 800
,6352,10589,10127,462
,6190,10587,10127,460
,6203,10576,10127,449
,6203,10583,10127,456
,6545,10615,10127,488
,6543,10605,10127,478
,5876,10548,10127,421
,6152,10575,10127,448
,6383,10609,10127,482
,7193,10683,10127,556
Avg of 900
,6908,10634,10127,507
,6968,10636,10127,509
,6928,10642,10127,515
,7245,10670,10127,543
,7120,10652,10127,525
,7052,10657,10127,530
,7126,10669,10127,542
,7425,10684,10127,557
,7039,10648,10127,521
,7384,10689,10127,562
Avg of 1000
Random Target, HV2, HV2, HV2, HV2
,663,10171,10127,44
,752,10179,10127,52
,807,10189,10127,62
,581,10167,10127,40
,597,10164,10127,37
,712,10179,10127,52
,693,10175,10127,48
,603,10168,10127,41
,756,10179,10127,52
,703,10172,10127,45
Avg of 100
,1501,10232,10127,105
,1325,10223,10127,96
,1396,10224,10127,97
,1227,10209,10127,82
,1491,10234,10127,107
,1505,10237,10127,110
,1313,10214,10127,87
,1408,10228,10127,101
,1196,10205,10127,78
,1276,10209,10127,82
Avg of 200
,2276,10293,10127,166
,2047,10270,10127,143
,1969,10264,10127,137
,2014,10271,10127,144
,2187,10292,10127,165
,2415,10298,10127,171
,1968,10266,10127,139
,1933,10257,10127,130
,2283,10292,10127,165
,2289,10285,10127,158
Avg of 300
,2673,10315,10127,188
,2881,10334,10127,207
,2739,10322,10127,195
,2704,10313,10127,186
,2777,10323,10127,196
,2901,10332,10127,205
,2833,10332,10127,205
,2748,10321,10127,194
,2500,10295,10127,168
,2762,10318,10127,191
Avg of 400
,3710,10399,10127,272
,3426,10373,10127,246
,3332,10358,10127,231
,3191,10353,10127,226
,3366,10364,10127,237
,3590,10391,10127,264
,3573,10381,10127,254
,3374,10375,10127,248
,3589,10395,10127,268
,3569,10385,10127,258
Avg of 500
,4070,10428,10127,301
,4120,10428,10127,301
,3963,10415,10127,288
,4283,10435,10127,308
,4544,10469,10127,342
,4063,10418,10127,291
,3921,10404,10127,277
,4090,10424,10127,297
,4134,10425,10127,298
,3901,10395,10127,268
Avg of 600
,4591,10464,10127,337
,4854,10471,10127,344
,4833,10481,10127,354
,5159,10516,10127,389
,4792,10473,10127,346
,4574,10449,10127,322
,4860,10466,10127,339
,4800,10471,10127,344
,4786,10473,10127,346
,4904,10485,10127,358
Avg of 700
,5982,10577,10127,450
,5371,10511,10127,384
,5836,10545,10127,418
,5377,10520,10127,393
,5209,10496,10127,369
,5435,10518,10127,391
,5642,10545,10127,418
,5411,10515,10127,388
,5631,10526,10127,399
,5540,10522,10127,395
Avg of 800
,5690,10525,10127,398
,6241,10578,10127,451
,6198,10580,10127,453
,6580,10615,10127,488
,6416,10588,10127,461
,5931,10560,10127,433
,6291,10589,10127,462
,6200,10573,10127,446
,5910,10541,10127,414
,6256,10589,10127,462
Avg of 900
,7105,10652,10127,525
,7095,10643,10127,516
,6830,10619,10127,492
,6260,10568,10127,441
,7142,10656,10127,529
,6727,10605,10127,478
,7314,10660,10127,533
,7343,10660,10127,533
,7009,10646,10127,519
,7343,10678,10127,551
Avg of 1000
Random Target, KNN, KNN, KNN, KNN
,617,10169,10127,42
,607,10171,10127,44
,850,10193,10127,66
,612,10169,10127,42
,742,10183,10127,56
,656,10175,10127,48
,632,10175,10127,48
,750,10183,10127,56
,727,10183,10127,56
,690,10177,10127,50
Avg of 100
,1395,10229,10127,102
,1559,10249,10127,122
,1514,10241,10127,114
,1521,10242,10127,115
,1427,10231,10127,104
,1684,10263,10127,136
,1353,10227,10127,100
,1431,10233,10127,106
,1568,10247,10127,120
,1321,10225,10127,98
Avg of 200
,2016,10275,10127,148
,2096,10285,10127,158
,1918,10267,10127,140
,1986,10273,10127,146
,2069,10281,10127,154
,1726,10245,10127,118
,2174,10291,10127,164
,2124,10283,10127,156
,1932,10265,10127,138
,2148,10293,10127,166
Avg of 300
,2813,10335,10127,208
,2411,10303,10127,176
,2401,10297,10127,170
,2805,10341,10127,214
,2748,10333,10127,206
,2539,10307,10127,180
,2759,10329,10127,202
,3081,10367,10127,240
,2568,10317,10127,190
,2793,10340,10127,213
Avg of 400
,3566,10399,10127,272
,3544,10395,10127,268
,3537,10390,10127,263
,3594,10401,10127,274
,3573,10394,10127,267
,3396,10377,10127,250
,3459,10384,10127,257
,3456,10382,10127,255
,3591,10399,10127,272
,3401,10372,10127,245
Avg of 500
,4102,10435,10127,308
,3831,10405,10127,278
,4059,10431,10127,304
,4117,10433,10127,306
,4156,10441,10127,314
,4108,10435,10127,308
,4135,10441,10127,314
,3838,10406,10127,279
,3858,10409,10127,282
,4143,10431,10127,304
Avg of 600
,4911,10500,10127,373
,4647,10477,10127,350
,4975,10505,10127,378
,4536,10461,10127,334
,4795,10487,10127,360
,5011,10512,10127,385
,4855,10490,10127,363
,4827,10495,10127,368
,4640,10473,10127,346
,4470,10457,10127,330
Avg of 700
,5764,10571,10127,444
,5518,10538,10127,411
,5663,10561,10127,434
,5539,10545,10127,418
,5436,10533,10127,406
,5511,10549,10127,422
,5364,10526,10127,399
,4881,10474,10127,347
,5410,10539,10127,412
,5252,10515,10127,388
Avg of 800
,6720,10642,10127,515
,6498,10627,10127,500
,6328,10611,10127,484
,5656,10550,10127,423
,6022,10579,10127,452
,6445,10623,10127,496
,5995,10571,10127,444
,6161,10595,10127,468
,6041,10577,10127,450
,6215,10599,10127,472
Avg of 900
,6671,10629,10127,502
,6962,10661,10127,534
,6368,10595,10127,468
,6640,10629,10127,502
,6648,10624,10127,497
,6925,10649,10127,522
,6900,10649,10127,522
,6657,10629,10127,502
,6266,10591,10127,464
,7068,10677,10127,550
Avg of 1000
Random Target, KNN2, KNN2, KNN2, KNN2
,696,10177,10127,50
,726,10183,10127,56
,629,10171,10127,44
,730,10183,10127,56
,612,10171,10127,44
,643,10174,10127,47
,723,10185,10127,58
,591,10167,10127,40
,614,10171,10127,44
,723,10181,10127,54
Avg of 100
,1371,10229,10127,102
,1395,10231,10127,104
,1498,10239,10127,112
,1315,10222,10127,95
,1345,10223,10127,96
,1278,10217,10127,90
,1662,10259,10127,132
,1592,10249,10127,122
,1320,10225,10127,98
,1091,10199,10127,72
Avg of 200
,2044,10277,10127,150
,2131,10291,10127,164
