Random Walk , DT, DT, DT, DT
,9562,11085,10127,958
,9662,11073,10127,946
,9671,11078,10127,951
,9691,11085,10127,958
,9796,11089,10127,962
,9795,11080,10127,953
Avg of 500
,11709,11275,10127,1148
,11750,11285,10127,1158
,11537,11269,10127,1142
,11741,11272,10127,1145
,11487,11291,10127,1164
,11752,11251,10127,1124
,11510,11285,10127,1158
,11606,11274,10127,1147
,11752,11287,10127,1160
,11578,11279,10127,1152
Avg of 600
,13507,11475,10127,1348
,13483,11464,10127,1337
,13571,11455,10127,1328
,13530,11478,10127,1351
,13724,11464,10127,1337
,13698,11462,10127,1335
,13553,11474,10127,1347
,13586,11473,10127,1346
,13450,11483,10127,1356
,13278,11480,10127,1353
Avg of 700
,15548,11662,10127,1535
,15372,11651,10127,1524
,15462,11648,10127,1521
,15564,11650,10127,1523
,15390,11660,10127,1533
,15562,11679,10127,1552
,15507,11666,10127,1539
,15754,11671,10127,1544
,15508,11658,10127,1531
,15404,11659,10127,1532
Avg of 800
,17521,11858,10127,1731
,17217,11850,10127,1723
,17408,11866,10127,1739
,17575,11829,10127,1702
,17436,11858,10127,1731
,17388,11830,10127,1703
,17565,11856,10127,1729
,17527,11845,10127,1718
,17383,11830,10127,1703
,17667,11844,10127,1717
Avg of 900
,19305,12035,10127,1908
,19304,12049,10127,1922
,19390,12027,10127,1900
,19157,12052,10127,1925
,19434,12042,10127,1915
,19132,12057,10127,1930
,19382,12042,10127,1915
,19460,12035,10127,1908
,19174,12052,10127,1925
,19530,12018,10127,1891
Avg of 1000
Random Walk , HV2, HV2, HV2, HV2
,1693,10323,10127,196
,1574,10325,10127,198
,1779,10325,10127,198
,1668,10325,10127,198
,1648,10327,10127,200
,1541,10325,10127,198
,1625,10325,10127,198
,1653,10327,10127,200
,1708,10327,10127,200
,1693,10327,10127,200
Avg of 100
,3191,10525,10127,398
,3356,10527,10127,400
,3049,10527,10127,400
,3223,10525,10127,398
,3158,10523,10127,396
,3396,10526,10127,399
,3345,10520,10127,393
,3170,10521,10127,394
,3424,10523,10127,396
,3285,10524,10127,397
Avg of 200
,5005,10723,10127,596
,4666,10725,10127,598
,4717,10725,10127,598
,4884,10721,10127,594
,5015,10724,10127,597
,5045,10726,10127,599
,4931,10726,10127,599
,4967,10721,10127,594
,4827,10722,10127,595
,4950,10722,10127,595
Avg of 300
,6471,10925,10127,798
,6611,10927,10127,800
,6604,10922,10127,795
,6474,10926,10127,799
,6475,10919,10127,792
,6548,10925,10127,798
,6728,10925,10127,798
,6613,10923,10127,796
,6261,10921,10127,794
,6725,10918,10127,791
Avg of 400
,7999,11122,10127,995
,7976,11116,10127,989
,7855,11120,10127,993
,8119,11117,10127,990
,8269,11122,10127,995
,7634,11122,10127,995
,8105,11123,10127,996
,8270,11117,10127,990
,8251,11122,10127,995
,8276,11119,10127,992
Avg of 500
,9846,11319,10127,1192
,9510,11314,10127,1187
,9544,11326,10127,1199
,9917,11318,10127,1191
,9734,11323,10127,1196
,9747,11323,10127,1196
,9829,11324,10127,1197
,9709,11322,10127,1195
,9772,11316,10127,1189
,9577,11324,10127,1197
Avg of 600
,11047,11524,10127,1397
,11195,11516,10127,1389
,11330,11523,10127,1396
,11621,11513,10127,1386
,11025,11517,10127,1390
,11153,11522,10127,1395
,11023,11525,10127,1398
,11359,11515,10127,1388
,11127,11523,10127,1396
,10945,11521,10127,1394
Avg of 700
,12994,11722,10127,1595
,12359,11714,10127,1587
,12778,11717,10127,1590
,12951,11719,10127,1592
,12782,11722,10127,1595
,13225,11722,10127,1595
,12861,11722,10127,1595
,13220,11720,10127,1593
,12513,11721,10127,1594
,12948,11725,10127,1598
Avg of 800
,14348,11923,10127,1796
,14533,11922,10127,1795
,14393,11918,10127,1791
,14937,11914,10127,1787
,14254,11919,10127,1792
,14557,11920,10127,1793
,14642,11919,10127,1792
,14858,11916,10127,1789
,14503,11909,10127,1782
,14645,11915,10127,1788
Avg of 900
,16245,12123,10127,1996
,16298,12112,10127,1985
,16072,12121,10127,1994
,16027,12112,10127,1985
,16589,12122,10127,1995
,16401,12110,10127,1983
,16438,12109,10127,1982
,16275,12113,10127,1986
,15793,12116,10127,1989
,16506,12115,10127,1988
Avg of 1000
Random Walk , KNN, KNN, KNN, KNN
,2110,10266,10127,139
,2060,10259,10127,132
,2065,10251,10127,124
,2161,10245,10127,118
,2109,10257,10127,130
,2143,10257,10127,130
,2109,10245,10127,118
,2106,10253,10127,126
,2046,10251,10127,124
,2071,10259,10127,132
Avg of 100
,4414,10377,10127,250
,4060,10386,10127,259
,4245,10383,10127,256
,4338,10387,10127,260
,4262,10381,10127,254
,4373,10371,10127,244
,4327,10400,10127,273
,4257,10363,10127,236
,4284,10413,10127,286
,4270,10383,10127,256
Avg of 200
,6297,10531,10127,404
,6336,10531,10127,404
,6355,10495,10127,368
,6320,10509,10127,382
,6348,10526,10127,399
,6200,10520,10127,393
,6325,10490,10127,363
,6459,10510,10127,383
,6390,10540,10127,413
,6530,10506,10127,379
Avg of 300
,8513,10628,10127,501
,8632,10671,10127,544
,8439,10660,10127,533
,8459,10645,10127,518
,8576,10627,10127,500
,8508,10605,10127,478
,8628,10611,10127,484
,8412,10616,10127,489
,8532,10636,10127,509
,8253,10645,10127,518
Avg of 400
,10592,10793,10127,666
,10638,10777,10127,650
,10681,10761,10127,634
,10783,10789,10127,662
,10553,10782,10127,655
,10798,10748,10127,621
,10801,10766,10127,639
,10534,10763,10127,636
,10459,10770,10127,643
,10689,10786,10127,659
Avg of 500
,12731,10935,10127,808
,12861,10893,10127,766
,12596,10894,10127,767
,12759,10905,10127,778
,12616,10903,10127,776
,12801,10893,10127,766
,12631,10880,10127,753
,13064,10911,10127,784
,12770,10909,10127,782
,12845,10904,10127,777
Avg of 600
,14790,11031,10127,904
,14915,10998,10127,871
,14692,11049,10127,922
,14788,11016,10127,889
,14785,11006,10127,879
,14942,11001,10127,874
,14764,11017,10127,890
,14753,11054,10127,927
,14876,11048,10127,921
,14878,11034,10127,907
Avg of 700
,17050,11180,10127,1053
,16863,11168,10127,1041
,17003,11173,10127,1046
,17186,11165,10127,1038
,17033,11174,10127,1047
,16858,11170,10127,1043
,16936,11185,10127,1058
,17253,11197,10127,1070
,17049,11191,10127,1064
,17076,11147,10127,1020
Avg of 800
,18950,11320,10127,1193
,19178,11359,10127,1232
,18940,11281,10127,1154
,19010,11283,10127,1156
,18895,11318,10127,1191
,19075,11263,10127,1136
,19156,11249,10127,1122
,19232,11267,10127,1140
,19045,11309,10127,1182
,19073,11272,10127,1145
Avg of 900
,21186,11414,10127,1287
,21325,11458,10127,1331
,21354,11439,10127,1312
,21035,11438,10127,1311
,21044,11405,10127,1278
,21389,11411,10127,1284
,21544,11385,10127,1258
,21370,11462,10127,1335
,21329,11402,10127,1275
,21204,11394,10127,1267
Avg of 1000
Random Walk , KNN2, KNN2, KNN2
,2140,10223,10127,96
,2136,10225,10127,98
,2141,10229,10127,102
,2134,10231,10127,104
,2153,10210,10127,83
,2149,10218,10127,91
,2155,10213,10127,86
,2173,10215,10127,88
,2082,10205,10127,78
,2142,10217,10127,90
Avg of 100
,4287,10325,10127,198
,4254,10329,10127,202
,4336,10323,10127,196
,4167,10311,10127,184
,4254,10295,10127,168
,4254,10309,10127,182
,4313,10321,10127,194
,4309,10341,10127,214
,4308,10305,10127,178
,4289,10308,10127,181
Avg of 200
,6427,10424,10127,297
,6429,10415,10127,288
,6356,10403,10127,276
,6401,10417,10127,290
,6341,10432,10127,305
,6406,10411,10127,284
,6457,10407,10127,280
,6337,10403,10127,276
,6597,10430,10127,303
,6318,10427,10127,300
Avg of 300
,8521,10501,10127,374
